t[h] t[s] "Q(t) J/s" "dQ(t) J/gh" "Q(t) W/m³" "Q(t) J/kgs"
113,5 408600 0,8830 0,1308 59,9276 0,0363
113,75 409500 0,8804 0,1304 59,7521 0,0362
114 410400 0,8778 0,1300 59,5782 0,0361
114,25 411300 0,8753 0,1296 59,4058 0,0360
114,5 412200 0,8728 0,1292 59,2350 0,0359
114,75 413100 0,8703 0,1289 59,0657 0,0358
115 414000 0,8678 0,1285 58,8979 0,0357
115,25 414900 0,8654 0,1281 58,7318 0,0356
115,5 415800 0,8629 0,1278 58,5672 0,0355
115,75 416700 0,8605 0,1274 58,4042 0,0354
116 417600 0,8582 0,1271 58,2428 0,0353
116,25 418500 0,8558 0,1267 58,0829 0,0352
116,5 419400 0,8535 0,1264 57,9247 0,0351
116,75 420300 0,8512 0,1260 57,7682 0,0350
117 421200 0,8489 0,1257 57,6132 0,0349
117,25 422100 0,8466 0,1254 57,4599 0,0348
117,5 423000 0,8444 0,1250 57,3081 0,0347
117,75 423900 0,8422 0,1247 57,1581 0,0346
118 424800 0,8400 0,1244 57,0096 0,0346
118,25 425700 0,8378 0,1241 56,8629 0,0345
118,5 426600 0,8357 0,1237 56,7177 0,0344
118,75 427500 0,8336 0,1234 56,5742 0,0343
119 428400 0,8315 0,1231 56,4324 0,0342
119,25 429300 0,8294 0,1228 56,2922 0,0341
119,5 430200 0,8274 0,1225 56,1537 0,0340
119,75 431100 0,8254 0,1222 56,0168 0,0339
120 432000 0,8234 0,1219 55,8816 0,0339
120,25 432900 0,8214 0,1216 55,7480 0,0338
120,5 433800 0,8195 0,1213 55,6161 0,0337
120,75 434700 0,8175 0,1211 55,4859 0,0336
121 435600 0,8156 0,1208 55,3573 0,0335
121,25 436500 0,8138 0,1205 55,2303 0,0335
121,5 437400 0,8119 0,1202 55,1050 0,0334
121,75 438300 0,8101 0,1200 54,9813 0,0333
122 439200 0,8083 0,1197 54,8593 0,0332
122,25 440100 0,8065 0,1194 54,7388 0,0332
122,5 441000 0,8048 0,1192 54,6200 0,0331
122,75 441900 0,8030 0,1189 54,5029 0,0330
123 442800 0,8013 0,1187 54,3873 0,0330
123,25 443700 0,7997 0,1184 54,2733 0,0329
123,5 444600 0,7980 0,1182 54,1610 0,0328
123,75 445500 0,7964 0,1179 54,0502 0,0328
124 446400 0,7948 0,1177 53,9410 0,0327
124,25 447300 0,7932 0,1175 53,8333 0,0326
124,5 448200 0,7916 0,1172 53,7272 0,0326
124,75 449100 0,7901 0,1170 53,6227 0,0325
125 450000 0,7886 0,1168 53,5197 0,0324
125,25 450900 0,7871 0,1165 53,4182 0,0324
125,5 451800 0,7856 0,1163 53,3182 0,0323
125,75 452700 0,7841 0,1161 53,2197 0,0323
126 453600 0,7827 0,1159 53,1227 0,0322
126,25 454500 0,7813 0,1157 53,0271 0,0321
126,5 455400 0,7799 0,1155 52,9330 0,0321
126,75 456300 0,7786 0,1153 52,8404 0,0320
127 457200 0,7772 0,1151 52,7491 0,0320
127,25 458100 0,7759 0,1149 52,6592 0,0319
127,5 459000 0,7746 0,1147 52,5708 0,0319
127,75 459900 0,7733 0,1145 52,4836 0,0318
128 460800 0,7720 0,1143 52,3978 0,0318
128,25 461700 0,7708 0,1141 52,3134 0,0317
128,5 462600 0,7696 0,1140 52,2302 0,0317
128,75 463500 0,7684 0,1138 52,1483 0,0316
129 464400 0,7672 0,1136 52,0677 0,0316
129,25 465300 0,7660 0,1134 51,9883 0,0315
129,5 466200 0,7648 0,1133 51,9101 0,0315
129,75 467100 0,7637 0,1131 51,8330 0,0314
130 468000 0,7626 0,1129 51,7572 0,0314
130,25 468900 0,7615 0,1128 51,6824 0,0313
