Calidutherm 
"t " "Q(t) "
[h] [J/g]
39,81916666666667 28,55
39,84972222222222 28,57
39,867222222222225 28,58
39,886944444444445 28,59
43,24194444444444 30,74
43,27583333333333 30,76
43,31027777777778 30,78
43,346666666666664 30,8
43,38111111111111 30,82
46,06861111111111 32,7
46,11972222222222 32,74
46,153055555555554 32,76
46,18638888888889 32,78
48,55388888888889 34,48
48,58833333333334 34,5
48,6236111111111 34,52
48,665000000000006 34,55
49,710277777777776 35,26
49,745555555555555 35,28
49,78027777777777 35,3
52,20861111111111 36,85
53,104444444444454 37,48
53,687222222222225 37,9
53,963055555555556 38,11
54,20333333333333 38,3
54,48888888888888 38,54
54,90777777777778 38,91
54,97888888888889 38,97
55,012499999999996 39
55,046388888888885 39,03
55,322500000000005 39,28
55,342777777777776 39,3
55,35666666666667 39,31
55,382777777777775 39,33
55,41333333333333 39,36
55,448055555555555 39,39
56,47999999999999 40,29
56,539722222222224 40,34
59,10416666666667 42,47
59,114444444444445 42,48
59,11805555555556 42,48
59,13194444444444 42,49
59,14861111111111 42,5
59,16972222222222 42,52
59,19666666666667 42,54
59,22694444444444 42,57
59,266666666666666 42,6
69,05388888888889 50,92
69,08833333333334 50,95
69,12166666666667 50,98
69,155 51,01
69,18888888888888 51,04
69,22277777777778 51,07
69,25722222222223 51,1
69,95916666666666 51,68
69,99305555555556 51,71
70,01722222222222 51,73
70,04666666666667 51,76
70,07972222222222 51,79
70,11472222222223 51,82
70,14944444444444 51,85
70,18777777777778 51,88
70,22305555555556 51,91
70,295 51,97
70,33055555555555 52
70,36611111111111 52,03
70,40055555555556 52,06
72,43277777777777 53,75
73,03583333333333 54,23
73,69472222222223 54,71
76,17 56,49
76,20555555555555 56,51
76,25805555555556 56,55
76,29166666666667 56,57
76,32833333333333 56,6
76,36444444444444 56,63
76,39861111111111 56,65
76,43305555555555 56,67
76,46666666666667 56,69
76,5038888888889 56,72
76,53888888888889 56,74
76,57666666666667 56,77
76,61055555555555 56,79
76,64861111111111 56,82
76,76249999999999 56,9
76,79666666666667 56,92
76,90305555555555 56,99
78,86916666666667 58,37
78,9025 58,39
78,93722222222222 58,41
79,94972222222222 59,14
79,98638888888888 59,17
80,02083333333333 59,2
81,38805555555555 60,25
81,4225 60,28
81,46055555555556 60,31
81,5 60,34
81,53416666666666 60,37
81,56277777777778 60,39
81,59472222222222 60,41
83,32527777777777 61,78
83,37194444444444 61,81
83,43277777777777 61,86
83,46638888888889 61,89
83,51833333333333 61,93
83,5525 61,96
83,58777777777777 61,99
83,59944444444444 62
83,61194444444445 62,01
83,61527777777778 62,01
83,62527777777778 62,02
83,63861111111112 62,03
83,66472222222222 62,05
85,96583333333334 63,79
86,00027777777778 63,82
86,03694444444444 63,85
86,07277777777777 63,88
86,13666666666667 63,93
89,17527777777778 66,1
89,23083333333334 66,14
89,3675 66,24
89,4036111111111 66,27
89,48388888888888 66,33
89,51777777777778 66,35
89,54777777777778 66,37
89,58083333333333 66,39
89,61555555555556 66,41
89,64916666666667 66,43
89,68277777777777 66,45
89,71833333333333 66,47
89,75305555555556 66,49
92,87444444444445 68,55
92,92 68,58
92,95361111111112 68,6
92,99 68,62
93,025 68,64
93,05916666666667 68,66
93,09861111111111 68,69
93,13527777777777 68,71
93,18888888888888 68,75
93,2225 68,77
93,26777777777778 68,8
93,30194444444444 68,82
93,33805555555556 68,84
93,37194444444444 68,86
93,4025 68,88
93,43666666666667 68,9
93,47166666666666 68,92
93,50888888888889 68,94
93,54527777777778 68,96
93,6588888888889 69,03
98,58277777777778 72,18
98,63666666666666 72,21
98,67 72,23
98,70388888888888 72,25
98,75638888888889 72,28
98,79055555555556 72,3
98,85666666666668 72,34
101,62166666666667 74
101,71416666666667 74,05
101,74888888888889 74,07
101,91472222222222 74,17
101,95027777777776 74,19
102,0025 74,22
102,03777777777776 74,24
102,11055555555555 74,28
102,14472222222224 74,3
102,5286111111111 74,52
102,56194444444446 74,54
102,62916666666666 74,58
102,66305555555556 74,6
102,70111111111112 74,62
102,76555555555555 74,66
102,79888888888888 74,68
102,92111111111112 74,75
113,1525 80,48
113,27666666666667 80,55
113,35805555555555 80,59
113,39138888888888 80,61
113,42722222222223 80,63
113,4625 80,65
113,4961111111111 80,67
113,53083333333333 80,69
113,56583333333333 80,71
113,59972222222223 80,73
113,63527777777777 80,75
113,67 80,77
113,70361111111112 80,79
113,73833333333333 80,81
113,77166666666668 80,83
113,80555555555554 80,85
113,84194444444445 80,87
113,88833333333335 80,9
113,92388888888888 80,92
113,96888888888887 80,94
114,0036111111111 80,96
114,05361111111111 80,99
122,50666666666666 85,39
122,54555555555555 85,41
122,57888888888888 85,43
122,61527777777778 85,45
122,65138888888889 85,47
122,71833333333333 85,5
132,72416666666666 90,3
132,75944444444445 90,32
132,79555555555555 90,34
132,82944444444445 90,36
132,86277777777778 90,38
132,90472222222223 90,4
132,93972222222223 90,42
132,9736111111111 90,44
133,00694444444446 90,46
133,07888888888888 90,49
133,1838888888889 90,54
133,30777777777777 90,6
142,3011111111111 94,56
142,33777777777777 94,58
142,3825 94,6
142,4177777777778 94,61
142,46055555555554 94,63
142,49416666666667 94,64
142,53055555555557 94,66
142,56583333333333 94,67
142,6002777777778 94,68
142,6352777777778 94,69
142,67111111111112 94,71
142,71972222222223 94,73
142,75833333333333 94,75
142,79611111111112 94,77
142,82972222222222 94,78
142,8636111111111 94,79
143,4597222222222 95,04
143,52055555555555 95,07
143,55972222222223 95,09
143,57583333333332 95,1
143,6838888888889 95,15
144,6913888888889 95,55
144,72611111111112 95,56
145,57222222222222 95,86
146,45916666666668 96,14
146,5011111111111 96,15
147,68777777777777 96,51
147,8111111111111 96,54
147,84444444444443 96,55
147,88472222222222 96,56
147,92194444444445 96,57
147,95666666666668 96,58
147,99083333333334 96,59
148,02555555555554 96,6
150,98416666666665 97,31
151,66444444444446 97,51
152,28277777777777 97,71
152,31722222222223 97,72
153,12777777777777 98
153,17444444444445 98,02
155,1013888888889 98,79
155,13472222222222 98,8
155,16833333333332 98,81
156,0338888888889 99,19
156,0675 99,2
156,10472222222222 99,22
158,56166666666667 100,2
158,59583333333333 100,21
158,63305555555556 100,22
158,6677777777778 100,23
158,70305555555555 100,24
158,73694444444445 100,25
164,26222222222222 102,24
164,35083333333333 102,27
164,38583333333332 102,28
164,4311111111111 102,3
164,46555555555557 102,31
164,49972222222223 102,32
164,53555555555556 102,33
164,57611111111112 102,34
164,60972222222222 102,35
164,6472222222222 102,36
164,68166666666667 102,37
164,71583333333334 102,38
164,75055555555556 102,39
164,78444444444443 102,4
164,82472222222222 102,41
164,85972222222222 102,42
164,8975 102,43
164,95055555555555 102,45
164,98527777777778 102,46
165,03333333333333 102,48
165,0677777777778 102,49
165,14166666666668 102,51
165,1761111111111 102,52
165,21166666666667 102,53
165,24527777777777 102,54
165,28055555555557 102,55
165,31555555555556 102,56
165,34916666666666 102,57
165,38555555555556 102,58
165,60055555555556 102,65
165,6363888888889 102,66
165,6911111111111 102,68
165,725 102,69
165,75861111111112 102,7
165,7938888888889 102,71
165,82916666666668 102,72
165,85 102,73
165,87444444444444 102,74
165,9025 102,75
168 103,46
